feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=1.00000000
#accounts,systemfee,networkfee,totalfee,sysfeeperacc,netfeeperacc,totalfeeperacc
1,0.01846128,0.00121552,0.01967680,0.01846128,0.00121552,0.01967680
2,0.03301533,0.00124252,0.03425785,0.01650767,0.00062126,0.01712893
3,0.04756938,0.00126952,0.04883890,0.01585646,0.00042318,0.01627964
4,0.06212343,0.00129652,0.06341995,0.01553086,0.00032413,0.01585499
5,0.07667748,0.00132352,0.07800100,0.01533550,0.00026471,0.01560020
6,0.09123153,0.00135052,0.09258205,0.01520526,0.00022509,0.01543035
7,0.10578558,0.00137752,0.10716310,0.01511223,0.00019679,0.01530902
8,0.12033963,0.00140652,0.12174615,0.01504246,0.00017582,0.01521827
9,0.13489368,0.00143352,0.13632720,0.01498819,0.00015928,0.01514747
10,0.14944773,0.00146052,0.15090825,0.01494478,0.00014606,0.01509083
11,0.16400178,0.00148752,0.16548930,0.01490926,0.00013523,0.01504449
12,0.17855583,0.00151452,0.18007035,0.01487966,0.00012621,0.01500587
13,0.19310988,0.00154152,0.19465140,0.01485461,0.00011858,0.01497319
14,0.20766393,0.00156852,0.20923245,0.01483314,0.00011204,0.01494518
15,0.22221798,0.00159552,0.22381350,0.01481454,0.00010637,0.01492090
16,0.23677203,0.00162252,0.23839455,0.01479826,0.00010141,0.01489966
17,0.25132608,0.00165152,0.25297760,0.01478389,0.00009715,0.01488104
18,0.26588013,0.00167852,0.26755865,0.01477112,0.00009326,0.01486437
19,0.28043418,0.00170552,0.28213970,0.01475970,0.00008977,0.01484946
20,0.29498823,0.00173252,0.29672075,0.01474942,0.00008663,0.01483604
21,0.30954228,0.00175952,0.31130180,0.01474011,0.00008379,0.01482390
22,0.32409633,0.00178652,0.32588285,0.01473166,0.00008121,0.01481286
23,0.33865038,0.00181352,0.34046390,0.01472393,0.00007885,0.01480278
24,0.35320443,0.00184052,0.35504495,0.01471686,0.00007669,0.01479354
25,0.36775848,0.00186752,0.36962600,0.01471034,0.00007471,0.01478504
26,0.38231253,0.00189452,0.38420705,0.01470433,0.00007287,0.01477720
27,0.39686658,0.00192152,0.39878810,0.01469877,0.00007117,0.01476993
28,0.41142063,0.00194852,0.41336915,0.01469360,0.00006959,0.01476319
29,0.42597468,0.00197552,0.42795020,0.01468879,0.00006813,0.01475691
30,0.44052873,0.00200252,0.44253125,0.01468430,0.00006676,0.01475105
31,0.45508278,0.00202952,0.45711230,0.01468009,0.00006547,0.01474556
32,0.46963683,0.00205652,0.47169335,0.01467616,0.00006427,0.01474042
33,0.48419088,0.00208352,0.48627440,0.01467246,0.00006314,0.01473559
34,0.49874493,0.00211052,0.50085545,0.01466897,0.00006208,0.01473105
35,0.51329898,0.00213752,0.51543650,0.01466569,0.00006108,0.01472676
36,0.52785303,0.00216452,0.53001755,0.01466259,0.00006013,0.01472271
37,0.54240708,0.00219152,0.54459860,0.01465966,0.00005924,0.01471889
38,0.55696113,0.00221852,0.55917965,0.01465688,0.00005839,0.01471526
39,0.57151518,0.00224552,0.57376070,0.01465424,0.00005758,0.01471182
40,0.58606923,0.00227252,0.58834175,0.01465174,0.00005682,0.01470855
41,0.60062328,0.00229952,0.60292280,0.01464935,0.00005609,0.01470544
42,0.61517733,0.00232652,0.61750385,0.01464708,0.00005540,0.01470248
43,0.62973138,0.00235352,0.63208490,0.01464492,0.00005474,0.01469965
44,0.64428543,0.00238052,0.64666595,0.01464286,0.00005411,0.01469696
45,0.65883948,0.00240752,0.66124700,0.01464088,0.00005351,0.01469438
46,0.67339353,0.00243452,0.67582805,0.01463899,0.00005293,0.01469192
47,0.68794758,0.00246152,0.69040910,0.01463719,0.00005238,0.01468956
48,0.70250163,0.00248852,0.70499015,0.01463546,0.00005185,0.01468730
49,0.71705568,0.00251552,0.71957120,0.01463379,0.00005134,0.01468513
50,0.73160973,0.00254252,0.73415225,0.01463220,0.00005086,0.01468305
51,0.74616378,0.00256952,0.74873330,0.01463067,0.00005039,0.01468105
52,0.76071783,0.00259652,0.76331435,0.01462919,0.00004994,0.01467913
53,0.77527188,0.00262352,0.77789540,0.01462778,0.00004951,0.01467728
54,0.78982593,0.00265052,0.79247645,0.01462641,0.00004909,0.01467549
55,0.80437998,0.00267752,0.80705750,0.01462510,0.00004869,0.01467378
56,0.81893403,0.00270452,0.82163855,0.01462383,0.00004830,0.01467212
57,0.83348808,0.00273152,0.83621960,0.01462260,0.00004793,0.01467052
58,0.84804213,0.00275852,0.85080065,0.01462142,0.00004757,0.01466898
59,0.86259618,0.00278552,0.86538170,0.01462028,0.00004722,0.01466749
60,0.87715023,0.00281252,0.87996275,0.01461918,0.00004688,0.01466605
61,0.89170428,0.00283952,0.89454380,0.01461811,0.00004655,0.01466466
62,0.90625833,0.00286652,0.90912485,0.01461707,0.00004624,0.01466331
63,0.92081238,0.00289352,0.92370590,0.01461607,0.00004593,0.01466200
64,0.93536643,0.00292052,0.93828695,0.01461511,0.00004564,0.01466074
65,0.94992048,0.00294752,0.95286800,0.01461417,0.00004535,0.01465951
66,0.96447453,0.00297452,0.96744905,0.01461326,0.00004507,0.01465832
67,0.97902858,0.00300152,0.98203010,0.01461237,0.00004480,0.01465717
68,0.99358263,0.00302852,0.99661115,0.01461151,0.00004454,0.01465605
69,1.00813668,0.00305552,1.01119220,0.01461068,0.00004429,0.01465496
70,1.02269073,0.00308252,1.02577325,0.01460987,0.00004404,0.01465391
71,1.03724478,0.00310952,1.04035430,0.01460909,0.00004380,0.01465288
72,1.05179883,0.00313652,1.05493535,0.01460832,0.00004357,0.01465188
73,1.06635288,0.00316352,1.06951640,0.01460758,0.00004334,0.01465091
74,1.08090693,0.00319052,1.08409745,0.01460686,0.00004312,0.01464997
75,1.09546098,0.00321752,1.09867850,0.01460615,0.00004291,0.01464905
76,1.11001503,0.00324452,1.11325955,0.01460547,0.00004270,0.01464816
77,1.12456908,0.00327152,1.12784060,0.01460480,0.00004249,0.01464729
78,1.13912313,0.00329852,1.14242165,0.01460415,0.00004229,0.01464644
79,1.15367718,0.00332552,1.15700270,0.01460351,0.00004210,0.01464561
80,1.16823123,0.00335252,1.17158375,0.01460290,0.00004191,0.01464480
81,1.18278528,0.00337952,1.18616480,0.01460229,0.00004173,0.01464401
82,1.19733933,0.00340652,1.20074585,0.01460170,0.00004155,0.01464325
83,1.21189338,0.00343352,1.21532690,0.01460113,0.00004137,0.01464250
84,1.22644743,0.00346052,1.22990795,0.01460057,0.00004120,0.01464177
85,1.24100148,0.00348752,1.24448900,0.01460002,0.00004103,0.01464105
86,1.25555553,0.00351452,1.25907005,0.01459949,0.00004087,0.01464035
87,1.27010958,0.00354152,1.27365110,0.01459897,0.00004071,0.01463967
88,1.28466363,0.00356852,1.28823215,0.01459846,0.00004056,0.01463901
89,1.29921768,0.00359552,1.30281320,0.01459796,0.00004040,0.01463836
90,1.31377173,0.00362252,1.31739425,0.01459747,0.00004026,0.01463772
91,1.32832578,0.00364952,1.33197530,0.01459699,0.00004011,0.01463710
92,1.34287983,0.00367652,1.34655635,0.01459652,0.00003997,0.01463649
93,1.35743388,0.00370352,1.36113740,0.01459607,0.00003983,0.01463589
94,1.37198793,0.00373052,1.37571845,0.01459562,0.00003969,0.01463531
95,1.38654198,0.00375752,1.39029950,0.01459518,0.00003956,0.01463474
96,1.40109603,0.00378452,1.40488055,0.01459476,0.00003943,0.01463418
97,1.41565008,0.00381152,1.41946160,0.01459434,0.00003930,0.01463363
98,1.43020413,0.00383852,1.43404265,0.01459392,0.00003917,0.01463309
99,1.44475818,0.00386552,1.44862370,0.01459352,0.00003905,0.01463257
100,1.45931223,0.00389252,1.46320475,0.01459313,0.00003893,0.01463205
101,1.47386628,0.00391952,1.47778580,0.01459274,0.00003881,0.01463155
102,1.48842033,0.00394652,1.49236685,0.01459236,0.00003870,0.01463105
103,1.50297438,0.00397352,1.50694790,0.01459199,0.00003858,0.01463057
104,1.51752843,0.00400052,1.52152895,0.01459162,0.00003847,0.01463009
105,1.53208248,0.00402752,1.53611000,0.01459127,0.00003836,0.01462962
106,1.54663653,0.00405452,1.55069105,0.01459092,0.00003826,0.01462917
107,1.56119058,0.00408152,1.56527210,0.01459057,0.00003815,0.01462872
108,1.57574463,0.00410852,1.57985315,0.01459023,0.00003805,0.01462827
109,1.59029868,0.00413552,1.59443420,0.01458990,0.00003795,0.01462784
110,1.60485273,0.00416252,1.60901525,0.01458958,0.00003785,0.01462742
111,1.61940678,0.00418952,1.62359630,0.01458926,0.00003775,0.01462700
112,1.63396083,0.00421652,1.63817735,0.01458894,0.00003765,0.01462659
113,1.64851488,0.00424352,1.65275840,0.01458863,0.00003756,0.01462619
114,1.66306893,0.00427052,1.66733945,0.01458833,0.00003747,0.01462579
115,1.67762298,0.00429752,1.68192050,0.01458803,0.00003737,0.01462540
116,1.69217703,0.00432452,1.69650155,0.01458774,0.00003729,0.01462502
117,1.70673108,0.00435152,1.71108260,0.01458745,0.00003720,0.01462464
118,1.72128513,0.00437852,1.72566365,0.01458717,0.00003711,0.01462427
119,1.73583918,0.00440552,1.74024470,0.01458689,0.00003703,0.01462391
120,1.75039323,0.00443252,1.75482575,0.01458662,0.00003694,0.01462355
121,1.76494728,0.00445952,1.76940680,0.01458635,0.00003686,0.01462320
122,1.77950133,0.00448652,1.78398785,0.01458608,0.00003678,0.01462286
123,1.79405538,0.00451352,1.79856890,0.01458582,0.00003670,0.01462252
124,1.80860943,0.00454052,1.81314995,0.01458556,0.00003662,0.01462218
125,1.82316348,0.00456752,1.82773100,0.01458531,0.00003655,0.01462185
126,1.83771753,0.00459452,1.84231205,0.01458506,0.00003647,0.01462153
127,1.85227158,0.00462152,1.85689310,0.01458482,0.00003639,0.01462121
128,1.86682563,0.00465052,1.87147615,0.01458458,0.00003634,0.01462091
129,1.88137968,0.00467752,1.88605720,0.01458434,0.00003626,0.01462060
130,1.89593373,0.00470452,1.90063825,0.01458411,0.00003619,0.01462030
131,1.91048778,0.00473152,1.91521930,0.01458388,0.00003612,0.01462000
132,1.92504183,0.00475852,1.92980035,0.01458366,0.00003605,0.01461970
133,1.93959588,0.00478552,1.94438140,0.01458343,0.00003599,0.01461941
134,1.95414993,0.00481252,1.95896245,0.01458321,0.00003592,0.01461913
135,1.96870398,0.00483952,1.97354350,0.01458300,0.00003585,0.01461885
136,1.98325803,0.00486652,1.98812455,0.01458278,0.00003579,0.01461857
137,1.99781208,0.00489352,2.00270560,0.01458257,0.00003572,0.01461829
138,2.01236613,0.00492052,2.01728665,0.01458237,0.00003566,0.01461802
139,2.02692018,0.00494752,2.03186770,0.01458216,0.00003560,0.01461776
140,2.04147423,0.00497452,2.04644875,0.01458196,0.00003554,0.01461750
141,2.05602828,0.00500152,2.06102980,0.01458177,0.00003548,0.01461724
142,2.07058233,0.00502852,2.07561085,0.01458157,0.00003542,0.01461698
143,2.08513638,0.00505552,2.09019190,0.01458138,0.00003536,0.01461673
144,2.09969043,0.00508252,2.10477295,0.01458119,0.00003530,0.01461648
145,2.11424448,0.00510952,2.11935400,0.01458100,0.00003524,0.01461624
146,2.12879853,0.00513652,2.13393505,0.01458082,0.00003519,0.01461600
147,2.14335258,0.00516352,2.14851610,0.01458063,0.00003513,0.01461576
148,2.15790663,0.00519052,2.16309715,0.01458046,0.00003508,0.01461553
149,2.17246068,0.00521752,2.17767820,0.01458028,0.00003502,0.01461529
150,2.18701473,0.00524452,2.19225925,0.01458010,0.00003497,0.01461507
151,2.20156878,0.00527152,2.20684030,0.01457993,0.00003492,0.01461484
152,2.21612283,0.00529852,2.22142135,0.01457976,0.00003486,0.01461462
153,2.23067688,0.00532552,2.23600240,0.01457959,0.00003481,0.01461440
154,2.24523093,0.00535252,2.25058345,0.01457943,0.00003476,0.01461418
155,2.25978498,0.00537952,2.26516450,0.01457926,0.00003471,0.01461397
156,2.27433903,0.00540652,2.27974555,0.01457910,0.00003466,0.01461376
157,2.28889308,0.00543352,2.29432660,0.01457894,0.00003461,0.01461355
158,2.30344713,0.00546052,2.30890765,0.01457878,0.00003457,0.01461334
159,2.31800118,0.00548752,2.32348870,0.01457863,0.00003452,0.01461314
160,2.33255523,0.00551452,2.33806975,0.01457848,0.00003447,0.01461294
161,2.34710928,0.00554152,2.35265080,0.01457832,0.00003442,0.01461274
162,2.36166333,0.00556852,2.36723185,0.01457817,0.00003438,0.01461255
163,2.37621738,0.00559552,2.38181290,0.01457803,0.00003433,0.01461235
164,2.39077143,0.00562252,2.39639395,0.01457788,0.00003429,0.01461216
165,2.40532548,0.00564952,2.41097500,0.01457774,0.00003424,0.01461197
166,2.41987953,0.00567652,2.42555605,0.01457759,0.00003420,0.01461179
167,2.43443358,0.00570352,2.44013710,0.01457745,0.00003416,0.01461160
168,2.44898763,0.00573052,2.45471815,0.01457731,0.00003412,0.01461142
169,2.46354168,0.00575752,2.46929920,0.01457717,0.00003407,0.01461124
170,2.47809573,0.00578452,2.48388025,0.01457704,0.00003403,0.01461107
171,2.49264978,0.00581152,2.49846130,0.01457690,0.00003399,0.01461089
172,2.50720383,0.00583852,2.51304235,0.01457677,0.00003395,0.01461072
173,2.52175788,0.00586552,2.52762340,0.01457664,0.00003391,0.01461054
174,2.53631193,0.00589252,2.54220445,0.01457651,0.00003387,0.01461038
175,2.55086598,0.00591952,2.55678550,0.01457638,0.00003383,0.01461021
176,2.56542003,0.00594652,2.57136655,0.01457626,0.00003379,0.01461004
177,2.57997408,0.00597352,2.58594760,0.01457613,0.00003375,0.01460988
178,2.59452813,0.00600052,2.60052865,0.01457601,0.00003372,0.01460972
179,2.60908218,0.00602752,2.61510970,0.01457588,0.00003368,0.01460956
180,2.62363623,0.00605452,2.62969075,0.01457576,0.00003364,0.01460940
181,2.63819028,0.00608152,2.64427180,0.01457564,0.00003360,0.01460924
182,2.65274433,0.00610852,2.65885285,0.01457552,0.00003357,0.01460909
183,2.66729838,0.00613552,2.67343390,0.01457541,0.00003353,0.01460893
184,2.68185243,0.00616252,2.68801495,0.01457529,0.00003350,0.01460878
185,2.69640648,0.00618952,2.70259600,0.01457518,0.00003346,0.01460863
186,2.71096053,0.00621652,2.71717705,0.01457506,0.00003343,0.01460848
187,2.72551458,0.00624352,2.73175810,0.01457495,0.00003339,0.01460834
188,2.74006863,0.00627052,2.74633915,0.01457484,0.00003336,0.01460819
189,2.75462268,0.00629752,2.76092020,0.01457473,0.00003333,0.01460805
190,2.76917673,0.00632452,2.77550125,0.01457462,0.00003329,0.01460791
191,2.78373078,0.00635152,2.79008230,0.01457451,0.00003326,0.01460777
192,2.79828483,0.00637852,2.80466335,0.01457441,0.00003323,0.01460763
193,2.81283888,0.00640552,2.81924440,0.01457430,0.00003319,0.01460749
194,2.82739293,0.00643252,2.83382545,0.01457420,0.00003316,0.01460735
195,2.84194698,0.00645952,2.84840650,0.01457409,0.00003313,0.01460722
196,2.85650103,0.00648652,2.86298755,0.01457399,0.00003310,0.01460708
197,2.87105508,0.00651352,2.87756860,0.01457389,0.00003307,0.01460695
198,2.88560913,0.00654052,2.89214965,0.01457379,0.00003304,0.01460682
199,2.90016318,0.00656752,2.90673070,0.01457369,0.00003301,0.01460669
200,2.91471723,0.00659452,2.92131175,0.01457359,0.00003298,0.01460656
201,2.92927128,0.00662152,2.93589280,0.01457349,0.00003295,0.01460644
202,2.94382533,0.00664852,2.95047385,0.01457340,0.00003292,0.01460631
203,2.95837938,0.00667552,2.96505490,0.01457330,0.00003289,0.01460619
204,2.97293343,0.00670252,2.97963595,0.01457321,0.00003286,0.01460606
205,2.98748748,0.00672952,2.99421700,0.01457311,0.00003283,0.01460594
206,3.00204153,0.00675652,3.00879805,0.01457302,0.00003280,0.01460582
207,3.01659558,0.00678352,3.02337910,0.01457293,0.00003278,0.01460570
208,3.03114963,0.00681052,3.03796015,0.01457284,0.00003275,0.01460558
209,3.04570368,0.00683752,3.05254120,0.01457275,0.00003272,0.01460547
210,3.06025773,0.00686452,3.06712225,0.01457266,0.00003269,0.01460535
211,3.07481178,0.00689152,3.08170330,0.01457257,0.00003267,0.01460523
212,3.08936583,0.00691852,3.09628435,0.01457249,0.00003264,0.01460512
213,3.10391988,0.00694552,3.11086540,0.01457240,0.00003261,0.01460501
214,3.11847393,0.00697252,3.12544645,0.01457231,0.00003259,0.01460489
215,3.13302798,0.00699952,3.14002750,0.01457223,0.00003256,0.01460478
