feeperbyte=100
storageprice=10000
executionfeefactor=3
#accounts,tea,systemfee,networkfee
1,0.10000000,0.01748736,0.00121452
1,1.00000000,0.01748736,0.00121452
1,10.00000000,0.01748736,0.00121452
1,21.47483647,0.01748736,0.00121452
1,21.47483648,0.01758736,0.00121852
1,100.00000000,0.01758736,0.00121852
1,1000.00000000,0.01758736,0.00121852
10,0.10000000,0.15068619,0.00147752
10,1.00000000,0.15068619,0.00147752
10,10.00000000,0.15068619,0.00147752
10,21.47483647,0.15068619,0.00147752
10,21.47483648,0.15168619,0.00151752
10,100.00000000,0.15168619,0.00151752
10,1000.00000000,0.15168619,0.00151752
100,0.10000000,1.48267449,0.00408752
100,1.00000000,1.48267449,0.00408752
100,10.00000000,1.48267449,0.00408752
100,21.47483647,1.48267449,0.00408752
100,21.47483648,1.49267449,0.00448752
100,100.00000000,1.49267449,0.00448752
100,1000.00000000,1.49267449,0.00448752
674,0.10000000,9.97779987,0.02073352
674,1.00000000,9.97779987,0.02073352
674,10.00000000,9.97779987,0.02073352
674,21.47483647,9.97779987,0.02073352
674,21.47483648,10.04519987,0.02342952
674,100.00000000,10.04519987,0.02342952
674,1000.00000000,10.04519987,0.02342952
