feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=1.00000000
#accounts,systemfee,networkfee,totalfee,sysfeeperacc,netfeeperacc,totalfeeperacc
1,0.01748736,0.00121452,0.01870188,0.01748736,0.00121452,0.01870188
2,0.03228723,0.00124352,0.03353075,0.01614362,0.00062176,0.01676538
3,0.04708710,0.00127252,0.04835962,0.01569570,0.00042418,0.01611988
4,0.06188697,0.00130152,0.06318849,0.01547175,0.00032538,0.01579713
5,0.07668684,0.00133052,0.07801736,0.01533737,0.00026611,0.01560348
6,0.09148671,0.00135952,0.09284623,0.01524779,0.00022659,0.01547438
7,0.10628658,0.00138852,0.10767510,0.01518380,0.00019836,0.01538216
8,0.12108645,0.00141952,0.12250597,0.01513581,0.00017744,0.01531325
9,0.13588632,0.00144852,0.13733484,0.01509848,0.00016095,0.01525943
10,0.15068619,0.00147752,0.15216371,0.01506862,0.00014776,0.01521638
11,0.16548606,0.00150652,0.16699258,0.01504419,0.00013696,0.01518115
12,0.18028593,0.00153552,0.18182145,0.01502383,0.00012796,0.01515179
13,0.19508580,0.00156452,0.19665032,0.01500660,0.00012035,0.01512695
14,0.20988567,0.00159352,0.21147919,0.01499184,0.00011383,0.01510566
15,0.22468554,0.00162252,0.22630806,0.01497904,0.00010817,0.01508721
16,0.23948541,0.00165152,0.24113693,0.01496784,0.00010322,0.01507106
17,0.25428528,0.00168052,0.25596580,0.01495796,0.00009886,0.01505682
18,0.26908515,0.00170952,0.27079467,0.01494918,0.00009498,0.01504415
19,0.28388502,0.00173852,0.28562354,0.01494132,0.00009151,0.01503282
20,0.29868489,0.00176752,0.30045241,0.01493425,0.00008838,0.01502263
21,0.31348476,0.00179652,0.31528128,0.01492785,0.00008555,0.01501340
22,0.32828463,0.00182552,0.33011015,0.01492203,0.00008298,0.01500501
23,0.34308450,0.00185452,0.34493902,0.01491672,0.00008064,0.01499735
24,0.35788437,0.00188352,0.35976789,0.01491185,0.00007848,0.01499033
25,0.37268424,0.00191252,0.37459676,0.01490737,0.00007651,0.01498388
26,0.38748411,0.00194152,0.38942563,0.01490324,0.00007468,0.01497791
27,0.40228398,0.00197052,0.40425450,0.01489941,0.00007299,0.01497239
28,0.41708385,0.00199952,0.41908337,0.01489586,0.00007142,0.01496727
29,0.43188372,0.00202852,0.43391224,0.01489255,0.00006995,0.01496250
30,0.44668359,0.00205752,0.44874111,0.01488946,0.00006859,0.01495804
31,0.46148346,0.00208652,0.46356998,0.01488657,0.00006731,0.01495388
32,0.47628333,0.00211552,0.47839885,0.01488386,0.00006611,0.01494997
33,0.49108320,0.00214452,0.49322772,0.01488131,0.00006499,0.01494630
34,0.50588307,0.00217352,0.50805659,0.01487892,0.00006393,0.01494285
35,0.52068294,0.00220252,0.52288546,0.01487666,0.00006293,0.01493959
36,0.53548281,0.00223152,0.53771433,0.01487453,0.00006199,0.01493651
37,0.55028268,0.00226052,0.55254320,0.01487251,0.00006110,0.01493360
38,0.56508255,0.00228952,0.56737207,0.01487060,0.00006026,0.01493085
39,0.57988242,0.00231852,0.58220094,0.01486878,0.00005945,0.01492823
40,0.59468229,0.00234752,0.59702981,0.01486706,0.00005869,0.01492575
41,0.60948216,0.00237652,0.61185868,0.01486542,0.00005797,0.01492339
42,0.62428203,0.00240552,0.62668755,0.01486386,0.00005728,0.01492114
43,0.63908190,0.00243452,0.64151642,0.01486237,0.00005662,0.01491899
44,0.65388177,0.00246352,0.65634529,0.01486095,0.00005599,0.01491694
45,0.66868164,0.00249252,0.67117416,0.01485960,0.00005539,0.01491499
46,0.68348151,0.00252152,0.68600303,0.01485830,0.00005482,0.01491311
47,0.69828138,0.00255052,0.70083190,0.01485706,0.00005427,0.01491132
48,0.71308125,0.00257952,0.71566077,0.01485586,0.00005374,0.01490960
49,0.72788112,0.00260852,0.73048964,0.01485472,0.00005324,0.01490796
50,0.74268099,0.00263752,0.74531851,0.01485362,0.00005276,0.01490638
51,0.75748086,0.00266652,0.76014738,0.01485257,0.00005229,0.01490486
52,0.77228073,0.00269552,0.77497625,0.01485156,0.00005184,0.01490339
53,0.78708060,0.00272452,0.78980512,0.01485058,0.00005141,0.01490199
54,0.80188047,0.00275352,0.80463399,0.01484964,0.00005100,0.01490063
55,0.81668034,0.00278252,0.81946286,0.01484874,0.00005060,0.01489933
56,0.83148021,0.00281152,0.83429173,0.01484787,0.00005021,0.01489807
57,0.84628008,0.00284052,0.84912060,0.01484702,0.00004984,0.01489686
58,0.86107995,0.00286952,0.86394947,0.01484621,0.00004948,0.01489569
59,0.87587982,0.00289852,0.87877834,0.01484543,0.00004913,0.01489455
60,0.89067969,0.00292752,0.89360721,0.01484467,0.00004880,0.01489346
