#accounts,total,perAccount,total-preset,perAccount-preset
1,86005,86005,43740,43740
2,144241,72121,60105,30053
3,202662,67554,76378,25460
4,261135,65284,92385,23097
5,319416,63884,108983,21797
6,377456,62910,125593,20933
7,436104,62301,141119,20160
8,494739,61843,157590,19699
9,552326,61370,174050,19339
10,610847,61085,189776,18978
11,669393,60854,206197,18746
12,727195,60600,222592,18550
13,785673,60437,239002,18385
14,844161,60298,255398,18243
15,902638,60176,270781,18053
16,961127,60071,287101,17944
17,1024533,60267,303483,17852
18,1083330,60185,319804,17767
19,1142092,60111,336172,17694
20,1200830,60042,352482,17625
21,1259556,59979,368136,17531
22,1313255,59694,384449,17475
23,1371742,59641,400739,17424
24,1430324,59597,417088,17379
25,1488835,59554,433402,17337
26,1547392,59516,449679,17296
27,1605927,59479,465981,17259
28,1664401,59443,482318,17226
29,1722984,59414,498632,17195
30,1781505,59384,514957,17166
31,1840016,59356,530252,17105
32,1898586,59331,546473,17078
33,1957097,59306,562767,17054
34,2015642,59284,579037,17031
35,2074189,59263,595343,17010
36,2132711,59242,611648,16991
37,2191246,59223,627895,16971
38,2249708,59203,644201,16953
39,2308278,59187,660470,16936
40,2366861,59172,676765,16920
41,2425372,59156,693011,16903
42,2483881,59141,708626,16873
43,2542440,59127,724893,16858
44,2595915,58999,741111,16844
45,2654360,58986,757389,16831
46,2712768,58974,773691,16820
47,2771200,58962,789910,16807
48,2829585,58950,806225,16797
49,2888042,58940,822455,16785
50,2946486,58930,838756,16776
51,3004895,58920,855011,16765
52,3063220,58909,871265,16756
53,3121641,58899,887532,16746
54,3180122,58892,903835,16738
55,3238506,58882,920077,16729
56,3296939,58874,936319,16720
57,3355420,58868,952634,16713
58,3413745,58858,968852,16705
59,3472190,58851,985083,16697
60,3530647,58845,1002397,16707
61,3589080,58838,1022595,16764
62,3647441,58830,1038928,16757
63,3705897,58824,1055310,16751
64,3764354,58819,1071668,16745
65,3822787,58813,1087941,16738
66,3881160,58806,1104347,16733
67,3939581,58800,1120645,16727
68,3997978,58794,1137015,16721
69,4080193,59134,1153360,16716
70,4138907,59128,1169706,16711
71,4197645,59122,1186100,16706
72,4256408,59117,1202446,16701
73,4315244,59113,1218768,16696
74,4373934,59108,1235078,16691
75,4432709,59103,1251436,16686
76,4491495,59099,1267793,16682
77,4550223,59094,1284152,16678
78,4608985,59090,1295481,16609
79,4667748,59086,1311728,16605
80,4726534,59082,1327986,16600
81,4785322,59079,1344305,16597
82,4844048,59074,1360551,16593
83,4902823,59071,1376822,16589
84,4961574,59067,1393153,16586
85,5020240,59062,1409327,16581
86,5079124,59060,1425730,16579
87,5137851,59056,1442025,16575
88,5196589,59053,1458248,16571
89,5255316,59049,1474471,16568
90,5314164,59047,1490837,16565
91,5372939,59044,1507097,16562
92,5431653,59040,1523343,16559
93,5490393,59037,1539674,16556
94,5549240,59035,1555945,16553
95,5607870,59031,1572264,16551
96,5666766,59029,1588510,16547
97,5725396,59025,1604830,16545
98,5784280,59024,1621136,16543
99,5843031,59021,1637384,16540
100,5901770,59018,1653618,16537
101,5960557,59016,1669937,16535
102,6019321,59013,1686257,16532
103,6077733,59008,1702515,16530
104,6135987,59000,1718798,16527
105,6194157,58992,1735022,16525
106,6252350,58985,1751328,16522
107,6310568,58978,1767611,16520
108,6368703,58970,1783955,16519
109,6426909,58963,1800238,16516
110,6485114,58956,1816424,16513
111,6543272,58949,1832756,16512
112,6601538,58943,1849027,16510
113,6659684,58936,1865395,16508
114,6717829,58929,1881557,16505
115,6776072,58923,1897852,16504
116,6834278,58917,1914111,16501
117,6892412,58910,1930443,16500
118,6950678,58905,1946738,16498
119,7008800,58898,1963046,16497
120,7067030,58892,1979221,16494
121,7125176,58886,1995600,16493
122,7183478,58881,2011884,16491
123,7241600,58875,2028155,16490
124,7299819,58870,2044439,16488
125,7357977,58864,2060734,16486
126,7416243,58860,2076933,16484
127,7474365,58854,2093337,16483
128,7532595,58849,2109608,16482
129,7590741,58843,2125867,16480
130,7648971,58839,2142066,16478
131,7707189,58834,2158410,16477
132,7765312,58829,2174729,16476
133,7823458,58823,2190965,16474
134,7881748,58820,2207272,16473
135,7939990,58815,2223555,16471
136,7998088,58810,2239827,16470
137,8056295,58806,2256099,16468
138,8114501,58801,2272334,16467
139,8172659,58797,2288569,16465
140,8230854,58792,2304973,16465
141,8289025,58788,2321221,16463
142,8347339,58785,2337529,16462
143,8405425,58780,2353800,16461
144,8463655,58776,2370120,16460
145,8521874,58772,2386356,16458
146,8580068,58768,2402591,16457
147,8638226,58764,2418947,16456
148,8696445,58760,2435243,16455
149,8754652,58757,2451454,16453
150,8812846,58753,2467798,16452
151,8870993,58749,2483998,16451
152,8929223,58745,2500329,16450
153,8987334,58741,2516686,16449
154,9045648,58738,2532945,16448
155,9103795,58735,2549194,16447
156,9162013,58731,2565441,16446
157,9220196,58728,2576726,16413
158,9278462,58725,2592966,16412
159,9336562,58721,2609243,16411
160,9394768,58718,2625446,16410
161,9452987,58715,2641759,16409
162,9511145,58711,2657939,16408
163,9569352,58708,2674276,16407
164,9627546,58705,2690503,16406
165,9685813,58702,2706696,16405
166,9743889,58699,2722996,16404
167,9802107,58696,2739224,16403
168,9860314,58693,2755453,16402
169,9918509,58690,2771766,16401
170,9976643,58687,2787981,16400
171,10034898,58684,2804210,16399
172,10093129,58681,2820511,16399
173,10151312,58679,2836679,16397
174,10209482,58676,2852991,16397
175,10267654,58673,2869256,16396
176,10325825,58670,2885424,16395
177,10384032,58667,2901797,16395
178,10442274,58665,2918025,16394
179,10500445,58662,2934301,16393
180,10558676,58660,2950494,16392
181,10616907,58657,2966687,16391
182,10675006,58654,2983035,16391
183,10733250,58652,2999276,16390
184,10791409,58649,3015505,16389
185,10849640,58647,3031745,16388
186,10907799,58645,3047998,16388
187,10966042,58642,3064227,16387
188,11024165,58640,3080636,16387
189,11082384,58637,3096852,16386
190,11140567,58635,3113057,16385
191,11198715,58633,3129297,16384
192,11257041,58631,3145562,16384
193,11315105,58628,3161791,16383
194,11373384,58626,3178031,16382
195,11431579,58624,3194356,16382
196,11489750,58622,3210549,16381
197,11547909,58619,3226717,16380
198,11606116,58617,3242982,16379
199,11664347,58615,3259331,16379
200,11722459,58613,3275560,16378
201,11780667,58611,3291741,16377
202,11838934,58609,3308066,16377
203,11897129,58607,3324343,16377
204,11955276,58605,3340463,16375
205,12013484,58603,3356753,16375
206,12071667,58601,3373066,16375
207,12129934,58599,3389330,16374
208,12188046,58597,3405415,16373
209,12246326,58595,3421897,16373
210,12304329,58593,3438077,16372
211,12362716,58592,3454390,16372
212,12420864,58589,3470512,16371
213,12479023,58587,3486861,16371
214,12537242,58586,3503137,16370
215,12595534,58584,3519319,16369
216,12653657,58582,3535608,16369
217,12711830,58580,3551801,16368
218,12770001,58578,3568066,16368
219,12828209,58577,3584332,16367
220,12886332,58575,3600596,16367
221,12944612,58573,3616778,16366
222,13002747,58571,3633054,16366
223,13061003,58570,3649356,16365
224,13119150,58568,3665681,16365
225,13177359,58567,3681863,16364
226,13235530,58565,3698151,16364
227,13293738,58563,3714273,16363
228,13351957,58562,3730574,16363
229,13410141,58560,3746875,16362
230,13468421,58559,3763177,16362
231,13526652,58557,3779430,16362
232,13584752,58555,3795587,16361
233,13642960,58554,3811805,16360
234,13701060,58552,3828118,16360
235,13759256,58551,3844432,16360
236,13817524,58549,3860661,16359
237,13875744,58548,3876891,16359
238,13933951,58547,3893180,16358
239,13992099,58545,3909301,16357
240,14050283,58543,3925579,16357
241,14108563,58542,3941941,16357
242,14166770,58541,3958049,16356
243,14224942,58539,3974519,16357
244,14283103,58538,3990653,16356
245,14341311,58536,4006942,16355
246,14399495,58535,4046699,16450
247,14457631,58533,4063048,16450
248,14515767,58532,4079348,16449
249,14574059,58531,4095649,16449
250,14632195,58529,4111973,16448
251,14690463,58528,4128455,16449
252,14748672,58527,4144840,16448
253,14806724,58525,4161177,16448
254,14865016,58524,4177465,16447
255,14923236,58523,4193741,16447
256,14981408,58522,4210175,16446
257,15039580,58520,4226535,16446
258,15097764,58519,4242872,16446
259,15156068,58518,4259209,16445
260,15214276,58517,4275618,16445
261,15272461,58516,4291894,16445
262,15330621,58514,4308267,16444
263,15388889,58513,4324628,16444
264,15446941,58512,4341049,16444
265,15505174,58511,4357205,16443
266,15563430,58510,4373627,16443
267,15621506,58508,4390000,16442
268,15679822,58507,4406276,16442
269,15738043,58506,4422746,16442
270,15796132,58505,4439059,16441
271,15854364,58504,4455395,16441
272,15912596,58503,4471829,16441
273,15970829,58502,4488094,16440
274,16028929,58500,4504503,16440
275,16087233,58500,4520755,16440
276,16145418,58498,4537141,16439
277,16203471,58497,4553550,16439
278,16261751,58496,4569839,16439
279,16319936,58495,4586128,16438
280,16378144,58494,4602501,16438
281,16436245,58492,4618790,16437
282,16494525,58492,4635248,16438
283,16552674,58491,4651585,16437
284,16610918,58490,4667898,16437
285,16669187,58489,4684260,16436
286,16727395,58488,4700560,16436
287,16785509,58487,4716922,16436
288,16843681,58486,4733283,16436
289,16901830,58484,4749596,16435
290,16960098,58484,4766163,16436
291,17018331,58483,4782355,16435
292,17076515,58482,4798692,16434
293,17134616,58480,4814945,16434
294,17192885,58480,4831488,16434
295,17275983,58563,4847800,16434
296,17334173,58562,4864017,16433
297,17392221,58560,4880403,16433
298,17450207,58558,4896849,16433
299,17508350,58557,4913065,16432
300,17566434,58555,4929596,16432
301,17624529,58554,4945946,16432
302,17682587,58552,4962222,16432
303,17740670,58551,4978620,16432
304,17798801,58549,4994789,16431
305,17856813,58547,5011259,16431
306,17914847,58546,5027620,16431
307,17973014,58545,5043958,16430
308,18031014,58543,5060259,16430
309,18089264,58542,5076670,16430
310,18147240,58540,5093092,16430
