tea,fresh,preset
0.0025,90392,48229
0.005,90404,48229
0.0075,90404,48229
0.01,90404,48216
0.0125,90404,48229
0.015,90392,48229
0.0175,90404,48229
0.02,90392,48216
0.0225,90380,48229
0.025,90392,48229
0.0275,90404,48229
0.03,90404,48216
0.0325,90404,48229
0.035,90404,48216
0.0375,90392,48216
0.04,90392,48204
0.0425,90392,48216
0.045,90404,48229
0.0475,90380,48204
0.05,90392,48204
0.0525,90404,48216
0.055,90392,48216
0.0575,90404,48229
0.06,90392,48216
0.0625,90404,48229
0.065,90404,48229
0.0675,90404,48229
0.07,90404,48216
0.0725,90404,48241
0.075,90404,48241
0.0775,90404,48241
0.08,90380,48229
0.0825,90404,48241
0.085,90392,48229
0.0875,90404,48241
0.09,90404,48229
0.0925,90404,48241
0.095,90404,48241
0.0975,90404,48241
0.1,90392,48229
0.1025,90404,48241
0.105,90404,48241
0.1075,90404,48241
0.11,90404,48216
0.1125,90404,48229
0.115,90404,48241
0.1175,90404,48241
0.12,90367,48229
0.1225,90404,48241
0.125,90404,48241
0.1275,90404,48241
0.13,90392,48216
0.1325,90392,48229
0.135,90404,48241
0.1375,90404,48229
0.14,90392,48229
0.1425,90392,48241
0.145,90417,48241
0.1475,90404,48241
0.15,90404,48216
0.1525,90417,48241
0.155,90417,48229
0.1575,90404,48229
0.16,90392,48216
0.1625,90392,48229
0.165,90417,48241
0.1675,90404,48241
0.17,90417,48229
0.1725,90404,48241
0.175,90404,48241
0.1775,90392,48241
0.18,90392,48229
0.1825,90417,48241
0.185,90392,48241
0.1875,90417,48241
0.19,90417,48229
0.1925,90392,48241
0.195,90417,48241
0.1975,90417,48241
0.2,90380,48229
0.2025,90417,48216
0.205,90417,48241
0.2075,90417,48241
0.21,90417,48229
0.2125,90417,48229
0.215,90404,48241
0.2175,90417,48241
0.22,90392,48229
0.2225,90417,48241
0.225,90404,48241
0.2275,90392,48216
0.23,90417,48229
0.2325,90404,48241
0.235,90404,48229
0.2375,90417,48241
0.24,90404,48229
0.2425,90417,48241
0.245,90404,48229
0.2475,90417,48241
0.25,90417,48229
0.2525,90404,48229
0.255,90417,48241
0.2575,90417,48229
0.26,90404,48229
0.2625,90417,48241
0.265,90417,48241
0.2675,90417,48241
0.27,90417,48229
0.2725,90417,48241
0.275,90417,48229
0.2775,90404,48229
0.28,90404,48229
0.2825,90417,48241
0.285,90417,48241
0.2875,90417,48241
0.29,90417,48229
0.2925,90417,48241
0.295,90417,48241
0.2975,90417,48241
0.3,90404,48229
0.3025,90404,48241
0.305,90417,48241
0.3075,90417,48241
0.31,90417,48229
0.3125,90417,48241
0.315,90417,48241
0.3175,90417,48229
0.32,90392,48229
0.3225,90392,48241
0.325,90404,48229
0.3275,90417,48241
0.33,90417,48229
0.3325,90404,48241
0.335,90417,48229
0.3375,90417,48241
0.34,90404,48229
0.3425,90417,48241
0.345,90417,48241
0.3475,90404,48241
0.35,90417,48216
0.3525,90417,48241
0.355,90392,48216
0.3575,90417,48241
0.36,90392,48216
0.3625,90404,48241
0.365,90417,48241
0.3675,90417,48216
0.37,90417,48216
0.3725,90417,48241
0.375,90417,48241
0.3775,90417,48229
0.38,90404,48229
0.3825,90417,48229
0.385,90417,48241
0.3875,90417,48241
0.39,90417,48216
0.3925,90417,48241
0.395,90404,48229
0.3975,90417,48241
0.4,90404,48229
0.4025,90417,48241
0.405,90417,48241
0.4075,90417,48229
0.41,90404,48216
0.4125,90404,48241
0.415,90404,48241
0.4175,90417,48229
0.42,90404,48229
0.4225,90417,48241
0.425,90417,48241
0.4275,90417,48229
0.43,90417,48216
0.4325,90380,48229
0.435,90404,48241
0.4375,90417,48241
0.44,90404,48229
0.4425,90417,48229
0.445,90417,48229
0.4475,90417,48241
0.45,90417,48229
0.4525,90404,48241
0.455,90417,48241
0.4575,90417,48241
0.46,90392,48229
0.4625,90417,48241
0.465,90417,48229
0.4675,90404,48216
0.47,90417,48229
0.4725,90417,48241
0.475,90417,48241
0.4775,90417,48241
0.48,90392,48216
0.4825,90404,48241
0.485,90417,48229
0.4875,90404,48229
0.49,90417,48229
0.4925,90417,48229
0.495,90417,48241
0.4975,90404,48241
0.5,90392,48216
