preset_tea=0.01000000
feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=25.00000000
#accounts,int64-totalfee,int64-totalfeeperacc
1,0.01772641,0.01772641
2,0.03035707,0.01517854
3,0.04298773,0.01432925
4,0.05561839,0.01390460
5,0.06824905,0.01364981
6,0.08087971,0.01347996
7,0.09351237,0.01335891
8,0.10614303,0.01326788
9,0.11877369,0.01319708
10,0.13140435,0.01314044
11,0.14403501,0.01309410
12,0.15666567,0.01305548
13,0.16929633,0.01302280
14,0.18192699,0.01299479
15,0.19455765,0.01297051
16,0.20718831,0.01294927
17,0.21982097,0.01293065
18,0.23245163,0.01291398
19,0.24508229,0.01289907
20,0.25771295,0.01288565
21,0.27034361,0.01287351
22,0.28297427,0.01286247
23,0.29560493,0.01285239
24,0.30823559,0.01284315
25,0.32086625,0.01283465
26,0.33349691,0.01282681
27,0.34612757,0.01281954
28,0.35875823,0.01281280
29,0.37138889,0.01280652
30,0.38401955,0.01280066
31,0.39665021,0.01279517
32,0.40928087,0.01279003
33,0.42191153,0.01278520
34,0.43454219,0.01278066
35,0.44717285,0.01277637
36,0.45980351,0.01277232
37,0.47243417,0.01276850
38,0.48506483,0.01276487
39,0.49769549,0.01276143
40,0.51032615,0.01275816
41,0.52295681,0.01275505
42,0.53558747,0.01275209
43,0.54821813,0.01274926
44,0.56084879,0.01274657
45,0.57347945,0.01274399
46,0.58611011,0.01274153
47,0.59874077,0.01273917
48,0.61137143,0.01273691
49,0.62400209,0.01273474
50,0.63663275,0.01273266
51,0.64926341,0.01273066
52,0.66189407,0.01272874
53,0.67452473,0.01272689
54,0.68715539,0.01272510
55,0.69978605,0.01272339
56,0.71241671,0.01272173
57,0.72504737,0.01272013
58,0.73767803,0.01271859
59,0.75030869,0.01271710
60,0.76293935,0.01271566
61,0.77557001,0.01271427
62,0.78820067,0.01271292
63,0.80083133,0.01271161
64,0.81346199,0.01271035
65,0.82609265,0.01270912
66,0.83872331,0.01270793
67,0.85135397,0.01270678
68,0.86398463,0.01270566
69,0.87661529,0.01270457
70,0.88924595,0.01270352
71,0.90187661,0.01270249
72,0.91450727,0.01270149
73,0.92713793,0.01270052
74,0.93976859,0.01269958
75,0.95239925,0.01269866
76,0.96502991,0.01269777
77,0.97766057,0.01269690
78,0.99029123,0.01269605
79,1.00292189,0.01269522
80,1.01555255,0.01269441
81,1.02818321,0.01269362
82,1.04081387,0.01269286
83,1.05344453,0.01269211
84,1.06607519,0.01269138
85,1.07870585,0.01269066
86,1.09133651,0.01268996
87,1.10396717,0.01268928
88,1.11659783,0.01268862
89,1.12922849,0.01268797
90,1.14185915,0.01268733
91,1.15448981,0.01268671
92,1.16712047,0.01268610
93,1.17975113,0.01268550
94,1.19238179,0.01268492
95,1.20501245,0.01268435
96,1.21764311,0.01268379
97,1.23027377,0.01268324
98,1.24290443,0.01268270
99,1.25553509,0.01268218
100,1.26816575,0.01268166
101,1.28079641,0.01268116
102,1.29342707,0.01268066
103,1.30605773,0.01268018
104,1.31868839,0.01267970
105,1.33131905,0.01267923
106,1.34394971,0.01267878
107,1.35658037,0.01267833
108,1.36921103,0.01267788
109,1.38184169,0.01267745
110,1.39447235,0.01267703
111,1.40710301,0.01267661
112,1.41973367,0.01267620
113,1.43236433,0.01267580
114,1.44499499,0.01267540
115,1.45762565,0.01267501
116,1.47025631,0.01267463
117,1.48288697,0.01267425
118,1.49551763,0.01267388
119,1.50814829,0.01267352
120,1.52077895,0.01267316
121,1.53340961,0.01267281
122,1.54604027,0.01267247
123,1.55867093,0.01267213
124,1.57130159,0.01267179
125,1.58393225,0.01267146
126,1.59656291,0.01267114
