feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=25.00000000
#accounts,int64-totalfee,int64-totalfeeperacc
1,0.01978080,0.01978080
2,0.03446585,0.01723293
3,0.04915090,0.01638364
4,0.06383595,0.01595899
5,0.07852100,0.01570420
6,0.09320605,0.01553435
7,0.10789310,0.01541330
8,0.12257815,0.01532227
9,0.13726320,0.01525147
10,0.15194825,0.01519483
11,0.16663330,0.01514849
12,0.18131835,0.01510987
13,0.19600340,0.01507719
14,0.21068845,0.01504918
15,0.22537350,0.01502490
16,0.24005855,0.01500366
17,0.25474560,0.01498504
18,0.26943065,0.01496837
19,0.28411570,0.01495346
20,0.29880075,0.01494004
21,0.31348580,0.01492790
22,0.32817085,0.01491686
23,0.34285590,0.01490678
24,0.35754095,0.01489754
25,0.37222600,0.01488904
26,0.38691105,0.01488120
27,0.40159610,0.01487393
28,0.41628115,0.01486719
29,0.43096620,0.01486091
30,0.44565125,0.01485505
31,0.46033630,0.01484956
32,0.47502135,0.01484442
33,0.48970640,0.01483959
34,0.50439145,0.01483505
35,0.51907650,0.01483076
36,0.53376155,0.01482671
37,0.54844660,0.01482289
38,0.56313165,0.01481926
39,0.57781670,0.01481582
40,0.59250175,0.01481255
41,0.60718680,0.01480944
42,0.62187185,0.01480648
43,0.63655690,0.01480365
44,0.65124195,0.01480096
45,0.66592700,0.01479838
46,0.68061205,0.01479592
47,0.69529710,0.01479356
48,0.70998215,0.01479130
49,0.72466720,0.01478913
50,0.73935225,0.01478705
51,0.75403730,0.01478505
52,0.76872235,0.01478313
53,0.78340740,0.01478128
54,0.79809245,0.01477949
55,0.81277750,0.01477778
56,0.82746255,0.01477612
57,0.84214760,0.01477452
58,0.85683265,0.01477298
59,0.87151770,0.01477149
60,0.88620275,0.01477005
61,0.90088780,0.01476866
62,0.91557285,0.01476731
63,0.93025790,0.01476600
64,0.94494295,0.01476474
65,0.95962800,0.01476351
66,0.97431305,0.01476232
67,0.98899810,0.01476117
68,1.00368315,0.01476005
69,1.01836820,0.01475896
70,1.03305325,0.01475791
71,1.04773830,0.01475688
72,1.06242335,0.01475588
73,1.07710840,0.01475491
74,1.09179345,0.01475397
75,1.10647850,0.01475305
76,1.12116355,0.01475216
77,1.13584860,0.01475129
78,1.15053365,0.01475044
79,1.16521870,0.01474961
80,1.17990375,0.01474880
81,1.19458880,0.01474801
82,1.20927385,0.01474725
83,1.22395890,0.01474650
84,1.23864395,0.01474577
85,1.25332900,0.01474505
86,1.26801405,0.01474435
87,1.28269910,0.01474367
88,1.29738415,0.01474301
89,1.31206920,0.01474236
90,1.32675425,0.01474172
91,1.34143930,0.01474110
92,1.35612435,0.01474049
93,1.37080940,0.01473989
94,1.38549445,0.01473931
95,1.40017950,0.01473874
96,1.41486455,0.01473818
97,1.42954960,0.01473763
98,1.44423465,0.01473709
99,1.45891970,0.01473657
100,1.47360475,0.01473605
101,1.48828980,0.01473555
102,1.50297485,0.01473505
103,1.51765990,0.01473457
104,1.53234495,0.01473409
105,1.54703000,0.01473362
106,1.56171505,0.01473317
107,1.57640010,0.01473272
