feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=1.00000000
#accounts,int32-totalfee,int32-totalfeeperacc
1,0.01967680,0.01967680
2,0.03425785,0.01712893
3,0.04883890,0.01627964
4,0.06341995,0.01585499
5,0.07800100,0.01560020
6,0.09258205,0.01543035
7,0.10716310,0.01530902
8,0.12174615,0.01521827
9,0.13632720,0.01514747
10,0.15090825,0.01509083
11,0.16548930,0.01504449
12,0.18007035,0.01500587
13,0.19465140,0.01497319
14,0.20923245,0.01494518
15,0.22381350,0.01492090
16,0.23839455,0.01489966
17,0.25297760,0.01488104
18,0.26755865,0.01486437
19,0.28213970,0.01484946
20,0.29672075,0.01483604
21,0.31130180,0.01482390
22,0.32588285,0.01481286
23,0.34046390,0.01480278
24,0.35504495,0.01479354
25,0.36962600,0.01478504
26,0.38420705,0.01477720
27,0.39878810,0.01476993
28,0.41336915,0.01476319
29,0.42795020,0.01475691
30,0.44253125,0.01475105
31,0.45711230,0.01474556
32,0.47169335,0.01474042
33,0.48627440,0.01473559
34,0.50085545,0.01473105
35,0.51543650,0.01472676
36,0.53001755,0.01472271
37,0.54459860,0.01471889
38,0.55917965,0.01471526
39,0.57376070,0.01471182
40,0.58834175,0.01470855
41,0.60292280,0.01470544
42,0.61750385,0.01470248
43,0.63208490,0.01469965
44,0.64666595,0.01469696
45,0.66124700,0.01469438
46,0.67582805,0.01469192
47,0.69040910,0.01468956
48,0.70499015,0.01468730
49,0.71957120,0.01468513
50,0.73415225,0.01468305
51,0.74873330,0.01468105
52,0.76331435,0.01467913
53,0.77789540,0.01467728
54,0.79247645,0.01467549
55,0.80705750,0.01467378
56,0.82163855,0.01467212
57,0.83621960,0.01467052
58,0.85080065,0.01466898
59,0.86538170,0.01466749
60,0.87996275,0.01466605
61,0.89454380,0.01466466
62,0.90912485,0.01466331
63,0.92370590,0.01466200
64,0.93828695,0.01466074
65,0.95286800,0.01465951
66,0.96744905,0.01465832
67,0.98203010,0.01465717
68,0.99661115,0.01465605
69,1.01119220,0.01465496
70,1.02577325,0.01465391
71,1.04035430,0.01465288
72,1.05493535,0.01465188
73,1.06951640,0.01465091
74,1.08409745,0.01464997
75,1.09867850,0.01464905
76,1.11325955,0.01464816
77,1.12784060,0.01464729
78,1.14242165,0.01464644
79,1.15700270,0.01464561
80,1.17158375,0.01464480
81,1.18616480,0.01464401
82,1.20074585,0.01464325
83,1.21532690,0.01464250
84,1.22990795,0.01464177
85,1.24448900,0.01464105
86,1.25907005,0.01464035
87,1.27365110,0.01463967
88,1.28823215,0.01463901
89,1.30281320,0.01463836
90,1.31739425,0.01463772
91,1.33197530,0.01463710
92,1.34655635,0.01463649
93,1.36113740,0.01463589
94,1.37571845,0.01463531
95,1.39029950,0.01463474
96,1.40488055,0.01463418
97,1.41946160,0.01463363
98,1.43404265,0.01463309
99,1.44862370,0.01463257
100,1.46320475,0.01463205
101,1.47778580,0.01463155
102,1.49236685,0.01463105
103,1.50694790,0.01463057
104,1.52152895,0.01463009
105,1.53611000,0.01462962
106,1.55069105,0.01462917
107,1.56527210,0.01462872
108,1.57985315,0.01462827
109,1.59443420,0.01462784
