preset_tea=0.01000000
feeperbyte=100
storageprice=10000
executionfeefactor=3
#accounts,tea,systemfee,networkfee
1,0.10000000,0.01640689,0.00121552
1,1.00000000,0.01640689,0.00121552
1,10.00000000,0.01640689,0.00121552
1,21.47483647,0.01640689,0.00121552
1,21.47483648,0.01650689,0.00121952
1,100.00000000,0.01650689,0.00121952
10,0.10000000,0.12890383,0.00146052
10,1.00000000,0.12890383,0.00146052
10,10.00000000,0.12890383,0.00146052
10,21.47483647,0.12890383,0.00146052
10,21.47483648,0.12990383,0.00150052
10,100.00000000,0.12990383,0.00150052
100,0.10000000,1.25387323,0.00389252
100,1.00000000,1.25387323,0.00389252
100,10.00000000,1.25387323,0.00389252
100,21.47483647,1.25387323,0.00389252
100,21.47483648,1.26387323,0.00429252
100,100.00000000,1.26387323,0.00429252
1000,0.10000000,12.50356723,0.02819452
1000,1.00000000,12.50356723,0.02819452
1000,10.00000000,12.50356723,0.02819452
1000,21.47483647,12.50356723,0.02819452
1000,21.47483648,12.60356723,0.03219452
1000,100.00000000,12.60356723,0.03219452
1012,0.10000000,12.65356315,0.02851852
1012,1.00000000,12.65356315,0.02851852
1012,10.00000000,12.65356315,0.02851852
1012,21.47483647,12.65356315,0.02851852
1012,21.47483648,12.75476315,0.03256652
1012,100.00000000,12.75476315,0.03256652
