preset_tea=0.01000000
feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=25.00000000
#accounts,systemfee,networkfee,totalfee,sysfeeperacc,netfeeperacc,totalfeeperacc
1,0.01650689,0.00121952,0.01772641,0.01650689,0.00121952,0.01772641
2,0.02910655,0.00125052,0.03035707,0.01455328,0.00062526,0.01517854
3,0.04170621,0.00128152,0.04298773,0.01390207,0.00042718,0.01432925
4,0.05430587,0.00131252,0.05561839,0.01357647,0.00032813,0.01390460
5,0.06690553,0.00134352,0.06824905,0.01338111,0.00026871,0.01364981
6,0.07950519,0.00137452,0.08087971,0.01325087,0.00022909,0.01347996
7,0.09210485,0.00140752,0.09351237,0.01315784,0.00020108,0.01335891
8,0.10470451,0.00143852,0.10614303,0.01308807,0.00017982,0.01326788
9,0.11730417,0.00146952,0.11877369,0.01303380,0.00016328,0.01319708
10,0.12990383,0.00150052,0.13140435,0.01299039,0.00015006,0.01314044
11,0.14250349,0.00153152,0.14403501,0.01295487,0.00013923,0.01309410
12,0.15510315,0.00156252,0.15666567,0.01292527,0.00013021,0.01305548
13,0.16770281,0.00159352,0.16929633,0.01290022,0.00012258,0.01302280
14,0.18030247,0.00162452,0.18192699,0.01287875,0.00011604,0.01299479
15,0.19290213,0.00165552,0.19455765,0.01286015,0.00011037,0.01297051
16,0.20550179,0.00168652,0.20718831,0.01284387,0.00010541,0.01294927
17,0.21810145,0.00171952,0.21982097,0.01282950,0.00010115,0.01293065
18,0.23070111,0.00175052,0.23245163,0.01281673,0.00009726,0.01291398
19,0.24330077,0.00178152,0.24508229,0.01280531,0.00009377,0.01289907
20,0.25590043,0.00181252,0.25771295,0.01279503,0.00009063,0.01288565
21,0.26850009,0.00184352,0.27034361,0.01278572,0.00008779,0.01287351
22,0.28109975,0.00187452,0.28297427,0.01277727,0.00008521,0.01286247
23,0.29369941,0.00190552,0.29560493,0.01276954,0.00008285,0.01285239
24,0.30629907,0.00193652,0.30823559,0.01276247,0.00008069,0.01284315
25,0.31889873,0.00196752,0.32086625,0.01275595,0.00007871,0.01283465
26,0.33149839,0.00199852,0.33349691,0.01274994,0.00007687,0.01282681
27,0.34409805,0.00202952,0.34612757,0.01274438,0.00007517,0.01281954
28,0.35669771,0.00206052,0.35875823,0.01273921,0.00007359,0.01281280
29,0.36929737,0.00209152,0.37138889,0.01273440,0.00007213,0.01280652
30,0.38189703,0.00212252,0.38401955,0.01272991,0.00007076,0.01280066
31,0.39449669,0.00215352,0.39665021,0.01272570,0.00006947,0.01279517
32,0.40709635,0.00218452,0.40928087,0.01272177,0.00006827,0.01279003
33,0.41969601,0.00221552,0.42191153,0.01271807,0.00006714,0.01278520
34,0.43229567,0.00224652,0.43454219,0.01271458,0.00006608,0.01278066
35,0.44489533,0.00227752,0.44717285,0.01271130,0.00006508,0.01277637
36,0.45749499,0.00230852,0.45980351,0.01270820,0.00006413,0.01277232
37,0.47009465,0.00233952,0.47243417,0.01270527,0.00006324,0.01276850
38,0.48269431,0.00237052,0.48506483,0.01270249,0.00006239,0.01276487
39,0.49529397,0.00240152,0.49769549,0.01269985,0.00006158,0.01276143
40,0.50789363,0.00243252,0.51032615,0.01269735,0.00006082,0.01275816
41,0.52049329,0.00246352,0.52295681,0.01269496,0.00006009,0.01275505
