preset_tea=0.01000000
feeperbyte=100
storageprice=10000
executionfeefactor=3
#accounts,tea,systemfee,networkfee
1,0.10000000,0.01543297,0.00121452
1,1.00000000,0.01543297,0.00121452
1,10.00000000,0.01543297,0.00121452
1,21.47483647,0.01543297,0.00121452
1,21.47483648,0.01553297,0.00121852
1,100.00000000,0.01553297,0.00121852
1,1000.00000000,0.01553297,0.00121852
10,0.10000000,0.13014229,0.00147752
10,1.00000000,0.13014229,0.00147752
10,10.00000000,0.13014229,0.00147752
10,21.47483647,0.13014229,0.00147752
10,21.47483648,0.13114229,0.00151752
10,100.00000000,0.13114229,0.00151752
10,1000.00000000,0.13114229,0.00151752
100,0.10000000,1.27723549,0.00408752
100,1.00000000,1.27723549,0.00408752
100,10.00000000,1.27723549,0.00408752
100,21.47483647,1.27723549,0.00408752
100,21.47483648,1.28723549,0.00448752
100,100.00000000,1.28723549,0.00448752
100,1000.00000000,1.28723549,0.00448752
674,0.10000000,8.59314101,0.02073352
674,1.00000000,8.59314101,0.02073352
674,10.00000000,8.59314101,0.02073352
674,21.47483647,8.59314101,0.02073352
674,21.47483648,8.66054101,0.02342952
674,100.00000000,8.66054101,0.02342952
674,1000.00000000,8.66054101,0.02342952
