feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=1.00000000
#accounts,systemfee,networkfee,totalfee,sysfeeperacc,netfeeperacc,totalfeeperacc
1,0.01543297,0.00121452,0.01664749,0.01543297,0.00121452,0.01664749
2,0.02817845,0.00124352,0.02942197,0.01408923,0.00062176,0.01471099
3,0.04092393,0.00127252,0.04219645,0.01364131,0.00042418,0.01406549
4,0.05366941,0.00130152,0.05497093,0.01341736,0.00032538,0.01374274
5,0.06641489,0.00133052,0.06774541,0.01328298,0.00026611,0.01354909
6,0.07916037,0.00135952,0.08051989,0.01319340,0.00022659,0.01341999
7,0.09190585,0.00138852,0.09329437,0.01312941,0.00019836,0.01332777
8,0.10465133,0.00141952,0.10607085,0.01308142,0.00017744,0.01325886
9,0.11739681,0.00144852,0.11884533,0.01304409,0.00016095,0.01320504
10,0.13014229,0.00147752,0.13161981,0.01301423,0.00014776,0.01316199
11,0.14288777,0.00150652,0.14439429,0.01298980,0.00013696,0.01312676
12,0.15563325,0.00153552,0.15716877,0.01296944,0.00012796,0.01309740
13,0.16837873,0.00156452,0.16994325,0.01295221,0.00012035,0.01307256
14,0.18112421,0.00159352,0.18271773,0.01293745,0.00011383,0.01305127
15,0.19386969,0.00162252,0.19549221,0.01292465,0.00010817,0.01303282
16,0.20661517,0.00165152,0.20826669,0.01291345,0.00010322,0.01301667
17,0.21936065,0.00168052,0.22104117,0.01290357,0.00009886,0.01300243
18,0.23210613,0.00170952,0.23381565,0.01289479,0.00009498,0.01298976
19,0.24485161,0.00173852,0.24659013,0.01288693,0.00009151,0.01297843
20,0.25759709,0.00176752,0.25936461,0.01287986,0.00008838,0.01296824
21,0.27034257,0.00179652,0.27213909,0.01287346,0.00008555,0.01295901
22,0.28308805,0.00182552,0.28491357,0.01286764,0.00008298,0.01295062
23,0.29583353,0.00185452,0.29768805,0.01286233,0.00008064,0.01294296
24,0.30857901,0.00188352,0.31046253,0.01285746,0.00007848,0.01293594
25,0.32132449,0.00191252,0.32323701,0.01285298,0.00007651,0.01292949
26,0.33406997,0.00194152,0.33601149,0.01284885,0.00007468,0.01292352
27,0.34681545,0.00197052,0.34878597,0.01284502,0.00007299,0.01291800
28,0.35956093,0.00199952,0.36156045,0.01284147,0.00007142,0.01291288
29,0.37230641,0.00202852,0.37433493,0.01283816,0.00006995,0.01290811
30,0.38505189,0.00205752,0.38710941,0.01283507,0.00006859,0.01290365
31,0.39779737,0.00208652,0.39988389,0.01283218,0.00006731,0.01289949
32,0.41054285,0.00211552,0.41265837,0.01282947,0.00006611,0.01289558
33,0.42328833,0.00214452,0.42543285,0.01282692,0.00006499,0.01289191
34,0.43603381,0.00217352,0.43820733,0.01282453,0.00006393,0.01288846
35,0.44877929,0.00220252,0.45098181,0.01282227,0.00006293,0.01288520
36,0.46152477,0.00223152,0.46375629,0.01282014,0.00006199,0.01288212
37,0.47427025,0.00226052,0.47653077,0.01281812,0.00006110,0.01287921
38,0.48701573,0.00228952,0.48930525,0.01281621,0.00006026,0.01287646
39,0.49976121,0.00231852,0.50207973,0.01281439,0.00005945,0.01287384
40,0.51250669,0.00234752,0.51485421,0.01281267,0.00005869,0.01287136
41,0.52525217,0.00237652,0.52762869,0.01281103,0.00005797,0.01286900
42,0.53799765,0.00240552,0.54040317,0.01280947,0.00005728,0.01286675
43,0.55074313,0.00243452,0.55317765,0.01280798,0.00005662,0.01286460
44,0.56348861,0.00246352,0.56595213,0.01280656,0.00005599,0.01286255
45,0.57623409,0.00249252,0.57872661,0.01280521,0.00005539,0.01286060
46,0.58897957,0.00252152,0.59150109,0.01280391,0.00005482,0.01285872
47,0.60172505,0.00255052,0.60427557,0.01280267,0.00005427,0.01285693
48,0.61447053,0.00257952,0.61705005,0.01280147,0.00005374,0.01285521
49,0.62721601,0.00260852,0.62982453,0.01280033,0.00005324,0.01285357
50,0.63996149,0.00263752,0.64259901,0.01279923,0.00005276,0.01285199
51,0.65270697,0.00266652,0.65537349,0.01279818,0.00005229,0.01285047
52,0.66545245,0.00269552,0.66814797,0.01279717,0.00005184,0.01284900
53,0.67819793,0.00272452,0.68092245,0.01279619,0.00005141,0.01284760
54,0.69094341,0.00275352,0.69369693,0.01279525,0.00005100,0.01284624
