tea,systemfee,networkfee
10000000,2106747,127452
20000000,2106747,127452
30000000,2106747,127452
40000000,2106747,127452
50000000,2106747,127452
60000000,2106747,127452
70000000,2106747,127452
80000000,2106747,127452
90000000,2106747,127452
100000000,2106747,127452
110000000,2106747,127452
120000000,2106747,127452
130000000,2106747,127452
140000000,2106747,127452
150000000,2106747,127452
160000000,2106747,127452
170000000,2106747,127452
180000000,2106747,127452
190000000,2106747,127452
200000000,2106747,127452
210000000,2106747,127452
220000000,2106747,127452
230000000,2106747,127452
240000000,2106747,127452
250000000,2106747,127452
260000000,2106747,127452
270000000,2106747,127452
280000000,2106747,127452
290000000,2106747,127452
300000000,2106747,127452
310000000,2106747,127452
320000000,2106747,127452
330000000,2106747,127452
340000000,2106747,127452
350000000,2106747,127452
360000000,2106747,127452
370000000,2106747,127452
380000000,2106747,127452
390000000,2106747,127452
400000000,2106747,127452
410000000,2106747,127452
420000000,2106747,127452
430000000,2106747,127452
440000000,2106747,127452
450000000,2106747,127452
460000000,2106747,127452
470000000,2106747,127452
480000000,2106747,127452
490000000,2106747,127452
500000000,2106747,127452
510000000,2106747,127452
520000000,2106747,127452
530000000,2106747,127452
540000000,2106747,127452
550000000,2106747,127452
560000000,2106747,127452
570000000,2106747,127452
580000000,2106747,127452
590000000,2106747,127452
600000000,2106747,127452
610000000,2106747,127452
620000000,2106747,127452
630000000,2106747,127452
640000000,2106747,127452
650000000,2106747,127452
660000000,2106747,127452
670000000,2106747,127452
680000000,2106747,127452
690000000,2106747,127452
700000000,2106747,127452
710000000,2106747,127452
720000000,2106747,127452
730000000,2106747,127452
740000000,2106747,127452
750000000,2106747,127452
760000000,2106747,127452
770000000,2106747,127452
780000000,2106747,127452
790000000,2106747,127452
800000000,2106747,127452
810000000,2106747,127452
820000000,2106747,127452
830000000,2106747,127452
840000000,2106747,127452
850000000,2106747,127452
860000000,2106747,127452
870000000,2106747,127452
880000000,2106747,127452
890000000,2106747,127452
900000000,2106747,127452
910000000,2106747,127452
920000000,2106747,127452
930000000,2106747,127452
940000000,2106747,127452
950000000,2106747,127452
960000000,2106747,127452
970000000,2106747,127452
980000000,2106747,127452
990000000,2106747,127452
1000000000,2106747,127452
1010000000,2106747,127452
1020000000,2106747,127452
1030000000,2106747,127452
1040000000,2106747,127452
1050000000,2106747,127452
1060000000,2106747,127452
1070000000,2106747,127452
1080000000,2106747,127452
1090000000,2106747,127452
1100000000,2106747,127452
1110000000,2106747,127452
1120000000,2106747,127452
1130000000,2106747,127452
1140000000,2106747,127452
1150000000,2106747,127452
1160000000,2106747,127452
1170000000,2106747,127452
1180000000,2106747,127452
1190000000,2106747,127452
1200000000,2106747,127452
1210000000,2106747,127452
1220000000,2106747,127452
1230000000,2106747,127452
1240000000,2106747,127452
1250000000,2106747,127452
1260000000,2106747,127452
1270000000,2106747,127452
1280000000,2106747,127452
1290000000,2106747,127452
1300000000,2106747,127452
1310000000,2106747,127452
1320000000,2106747,127452
1330000000,2106747,127452
1340000000,2106747,127452
1350000000,2106747,127452
1360000000,2106747,127452
1370000000,2106747,127452
1380000000,2106747,127452
1390000000,2106747,127452
1400000000,2106747,127452
1410000000,2106747,127452
1420000000,2106747,127452
1430000000,2106747,127452
1440000000,2106747,127452
1450000000,2106747,127452
1460000000,2106747,127452
1470000000,2106747,127452
1480000000,2106747,127452
1490000000,2106747,127452
1500000000,2106747,127452
1510000000,2106747,127452
1520000000,2106747,127452
1530000000,2106747,127452
1540000000,2106747,127452
1550000000,2106747,127452
1560000000,2106747,127452
1570000000,2106747,127452
1580000000,2106747,127452
1590000000,2106747,127452
1600000000,2106747,127452
1610000000,2106747,127452
1620000000,2106747,127452
1630000000,2106747,127452
1640000000,2106747,127452
1650000000,2106747,127452
1660000000,2106747,127452
1670000000,2106747,127452
1680000000,2106747,127452
1690000000,2106747,127452
1700000000,2106747,127452
1710000000,2106747,127452
1720000000,2106747,127452
1730000000,2106747,127452
1740000000,2106747,127452
1750000000,2106747,127452
1760000000,2106747,127452
1770000000,2106747,127452
1780000000,2106747,127452
1790000000,2106747,127452
1800000000,2106747,127452
1810000000,2106747,127452
1820000000,2106747,127452
1830000000,2106747,127452
1840000000,2106747,127452
1850000000,2106747,127452
1860000000,2106747,127452
1870000000,2106747,127452
1880000000,2106747,127452
1890000000,2106747,127452
1900000000,2106747,127452
1910000000,2106747,127452
1920000000,2106747,127452
1930000000,2106747,127452
1940000000,2106747,127452
1950000000,2106747,127452
1960000000,2106747,127452
1970000000,2106747,127452
1980000000,2106747,127452
1990000000,2106747,127452
2000000000,2106747,127452
2010000000,2106747,127452
2020000000,2106747,127452
2030000000,2106747,127452
2040000000,2106747,127452
2050000000,2106747,127452
2060000000,2106747,127452
2070000000,2106747,127452
2080000000,2106747,127452
2090000000,2106747,127452
2100000000,2106747,127452
2110000000,2106747,127452
2120000000,2106747,127452
2130000000,2106747,127452
2140000000,2106747,127452
2150000000,2116747,127852
2160000000,2116747,127852
2170000000,2116747,127852
2180000000,2116747,127852
2190000000,2116747,127852
2200000000,2116747,127852
2210000000,2116747,127852
2220000000,2116747,127852
2230000000,2116747,127852
2240000000,2116747,127852
2250000000,2116747,127852
2260000000,2116747,127852
2270000000,2116747,127852
2280000000,2116747,127852
2290000000,2116747,127852
2300000000,2116747,127852
2310000000,2116747,127852
2320000000,2116747,127852
2330000000,2116747,127852
2340000000,2116747,127852
2350000000,2116747,127852
2360000000,2116747,127852
2370000000,2116747,127852
2380000000,2116747,127852
2390000000,2116747,127852
2400000000,2116747,127852
2410000000,2116747,127852
2420000000,2116747,127852
2430000000,2116747,127852
2440000000,2116747,127852
2450000000,2116747,127852
2460000000,2116747,127852
2470000000,2116747,127852
2480000000,2116747,127852
2490000000,2116747,127852
2500000000,2116747,127852
2510000000,2116747,127852
2520000000,2116747,127852
2530000000,2116747,127852
2540000000,2116747,127852
2550000000,2116747,127852
2560000000,2116747,127852
2570000000,2116747,127852
2580000000,2116747,127852
2590000000,2116747,127852
2600000000,2116747,127852
2610000000,2116747,127852
2620000000,2116747,127852
2630000000,2116747,127852
2640000000,2116747,127852
2650000000,2116747,127852
2660000000,2116747,127852
2670000000,2116747,127852
2680000000,2116747,127852
2690000000,2116747,127852
2700000000,2116747,127852
2710000000,2116747,127852
2720000000,2116747,127852
2730000000,2116747,127852
2740000000,2116747,127852
2750000000,2116747,127852
2760000000,2116747,127852
2770000000,2116747,127852
2780000000,2116747,127852
2790000000,2116747,127852
2800000000,2116747,127852
2810000000,2116747,127852
2820000000,2116747,127852
2830000000,2116747,127852
2840000000,2116747,127852
2850000000,2116747,127852
2860000000,2116747,127852
2870000000,2116747,127852
2880000000,2116747,127852
2890000000,2116747,127852
2900000000,2116747,127852
2910000000,2116747,127852
2920000000,2116747,127852
2930000000,2116747,127852
2940000000,2116747,127852
2950000000,2116747,127852
2960000000,2116747,127852
2970000000,2116747,127852
2980000000,2116747,127852
2990000000,2116747,127852
3000000000,2116747,127852
3010000000,2116747,127852
3020000000,2116747,127852
3030000000,2116747,127852
3040000000,2116747,127852
3050000000,2116747,127852
3060000000,2116747,127852
3070000000,2116747,127852
3080000000,2116747,127852
3090000000,2116747,127852
3100000000,2116747,127852
3110000000,2116747,127852
3120000000,2116747,127852
3130000000,2116747,127852
3140000000,2116747,127852
3150000000,2116747,127852
3160000000,2116747,127852
3170000000,2116747,127852
3180000000,2116747,127852
3190000000,2116747,127852
3200000000,2116747,127852
3210000000,2116747,127852
3220000000,2116747,127852
3230000000,2116747,127852
3240000000,2116747,127852
3250000000,2116747,127852
3260000000,2116747,127852
3270000000,2116747,127852
3280000000,2116747,127852
3290000000,2116747,127852
3300000000,2116747,127852
3310000000,2116747,127852
3320000000,2116747,127852
3330000000,2116747,127852
3340000000,2116747,127852
3350000000,2116747,127852
3360000000,2116747,127852
3370000000,2116747,127852
3380000000,2116747,127852
3390000000,2116747,127852
3400000000,2116747,127852
3410000000,2116747,127852
3420000000,2116747,127852
3430000000,2116747,127852
3440000000,2116747,127852
3450000000,2116747,127852
3460000000,2116747,127852
3470000000,2116747,127852
3480000000,2116747,127852
3490000000,2116747,127852
3500000000,2116747,127852
3510000000,2116747,127852
3520000000,2116747,127852
3530000000,2116747,127852
3540000000,2116747,127852
3550000000,2116747,127852
3560000000,2116747,127852
3570000000,2116747,127852
3580000000,2116747,127852
3590000000,2116747,127852
3600000000,2116747,127852
3610000000,2116747,127852
3620000000,2116747,127852
3630000000,2116747,127852
3640000000,2116747,127852
3650000000,2116747,127852
3660000000,2116747,127852
3670000000,2116747,127852
3680000000,2116747,127852
3690000000,2116747,127852
3700000000,2116747,127852
3710000000,2116747,127852
3720000000,2116747,127852
3730000000,2116747,127852
3740000000,2116747,127852
3750000000,2116747,127852
3760000000,2116747,127852
3770000000,2116747,127852
3780000000,2116747,127852
3790000000,2116747,127852
3800000000,2116747,127852
3810000000,2116747,127852
3820000000,2116747,127852
3830000000,2116747,127852
3840000000,2116747,127852
3850000000,2116747,127852
3860000000,2116747,127852
3870000000,2116747,127852
3880000000,2116747,127852
3890000000,2116747,127852
3900000000,2116747,127852
3910000000,2116747,127852
3920000000,2116747,127852
3930000000,2116747,127852
3940000000,2116747,127852
3950000000,2116747,127852
3960000000,2116747,127852
3970000000,2116747,127852
3980000000,2116747,127852
3990000000,2116747,127852
4000000000,2116747,127852
4010000000,2116747,127852
4020000000,2116747,127852
4030000000,2116747,127852
4040000000,2116747,127852
4050000000,2116747,127852
4060000000,2116747,127852
4070000000,2116747,127852
4080000000,2116747,127852
4090000000,2116747,127852
4100000000,2116747,127852
4110000000,2116747,127852
4120000000,2116747,127852
4130000000,2116747,127852
4140000000,2116747,127852
4150000000,2116747,127852
4160000000,2116747,127852
4170000000,2116747,127852
4180000000,2116747,127852
4190000000,2116747,127852
4200000000,2116747,127852
4210000000,2116747,127852
4220000000,2116747,127852
4230000000,2116747,127852
4240000000,2116747,127852
4250000000,2116747,127852
4260000000,2116747,127852
4270000000,2116747,127852
4280000000,2116747,127852
4290000000,2116747,127852
4300000000,2116747,127852
4310000000,2116747,127852
4320000000,2116747,127852
4330000000,2116747,127852
4340000000,2116747,127852
4350000000,2116747,127852
4360000000,2116747,127852
4370000000,2116747,127852
4380000000,2116747,127852
4390000000,2116747,127852
4400000000,2116747,127852
4410000000,2116747,127852
4420000000,2116747,127852
4430000000,2116747,127852
4440000000,2116747,127852
4450000000,2116747,127852
4460000000,2116747,127852
4470000000,2116747,127852
4480000000,2116747,127852
4490000000,2116747,127852
4500000000,2116747,127852
4510000000,2116747,127852
4520000000,2116747,127852
4530000000,2116747,127852
4540000000,2116747,127852
4550000000,2116747,127852
4560000000,2116747,127852
4570000000,2116747,127852
4580000000,2116747,127852
4590000000,2116747,127852
4600000000,2116747,127852
4610000000,2116747,127852
4620000000,2116747,127852
4630000000,2116747,127852
4640000000,2116747,127852
4650000000,2116747,127852
4660000000,2116747,127852
4670000000,2116747,127852
4680000000,2116747,127852
4690000000,2116747,127852
4700000000,2116747,127852
4710000000,2116747,127852
4720000000,2116747,127852
4730000000,2116747,127852
4740000000,2116747,127852
4750000000,2116747,127852
4760000000,2116747,127852
4770000000,2116747,127852
4780000000,2116747,127852
4790000000,2116747,127852
4800000000,2116747,127852
4810000000,2116747,127852
4820000000,2116747,127852
4830000000,2116747,127852
4840000000,2116747,127852
4850000000,2116747,127852
4860000000,2116747,127852
4870000000,2116747,127852
4880000000,2116747,127852
4890000000,2116747,127852
4900000000,2116747,127852
4910000000,2116747,127852
4920000000,2116747,127852
4930000000,2116747,127852
4940000000,2116747,127852
4950000000,2116747,127852
4960000000,2116747,127852
4970000000,2116747,127852
4980000000,2116747,127852
4990000000,2116747,127852
5000000000,2116747,127852
5010000000,2116747,127852
5020000000,2116747,127852
5030000000,2116747,127852
5040000000,2116747,127852
5050000000,2116747,127852
5060000000,2116747,127852
5070000000,2116747,127852
5080000000,2116747,127852
5090000000,2116747,127852
5100000000,2116747,127852
5110000000,2116747,127852
5120000000,2116747,127852
5130000000,2116747,127852
5140000000,2116747,127852
5150000000,2116747,127852
5160000000,2116747,127852
5170000000,2116747,127852
5180000000,2116747,127852
5190000000,2116747,127852
5200000000,2116747,127852
5210000000,2116747,127852
5220000000,2116747,127852
5230000000,2116747,127852
5240000000,2116747,127852
5250000000,2116747,127852
5260000000,2116747,127852
5270000000,2116747,127852
5280000000,2116747,127852
5290000000,2116747,127852
5300000000,2116747,127852
5310000000,2116747,127852
5320000000,2116747,127852
5330000000,2116747,127852
5340000000,2116747,127852
5350000000,2116747,127852
5360000000,2116747,127852
5370000000,2116747,127852
5380000000,2116747,127852
5390000000,2116747,127852
5400000000,2116747,127852
5410000000,2116747,127852
5420000000,2116747,127852
5430000000,2116747,127852
5440000000,2116747,127852
5450000000,2116747,127852
5460000000,2116747,127852
5470000000,2116747,127852
5480000000,2116747,127852
5490000000,2116747,127852
5500000000,2116747,127852
5510000000,2116747,127852
5520000000,2116747,127852
5530000000,2116747,127852
5540000000,2116747,127852
5550000000,2116747,127852
5560000000,2116747,127852
5570000000,2116747,127852
5580000000,2116747,127852
5590000000,2116747,127852
5600000000,2116747,127852
5610000000,2116747,127852
5620000000,2116747,127852
